date,neighborhood,monitor_type,median_income_usd,pm25,notes
2023-01,Riverside,low-cost sensor,32000,29.3,adjacent to I-95 corridor; industrial rail yard nearby
2023-02,RIVERSIDE,low-cost sensor,32000,28.2,adjacent to I-95 corridor; industrial rail yard nearby
2023-03,riverside,low-cost sensor,32000,24.9,adjacent to I-95 corridor; industrial rail yard nearby
2023-04,Riverside.,low-cost sensor,32000,21.6,adjacent to I-95 corridor; industrial rail yard nearby
2023-05,Riverside,low-cost sensor,32000,20.2,adjacent to I-95 corridor; industrial rail yard nearby
2023-06,RIVERSIDE,low-cost sensor,32000,19.1,adjacent to I-95 corridor; industrial rail yard nearby
2023-09,Riverside,low-cost sensor,32000,19.9,adjacent to I-95 corridor; industrial rail yard nearby
2023-10,RIVERSIDE,low-cost sensor,32000,22.9,adjacent to I-95 corridor; industrial rail yard nearby
2023-11,riverside,low-cost sensor,32000,25.4,adjacent to I-95 corridor; industrial rail yard nearby
2023-12,Riverside.,low-cost sensor,32000,28.5,adjacent to I-95 corridor; industrial rail yard nearby
2023-01,Oakview,low-cost sensor,38000,22.3,near old manufacturing site; mixed residential
2023-02,OAKVIEW,low-cost sensor,38000,22.0,near old manufacturing site; mixed residential
2023-03,oakview,low-cost sensor,38000,20.0,near old manufacturing site; mixed residential
2023-04,"Oakview,",low-cost sensor,38000,18.2,near old manufacturing site; mixed residential
2023-05,Oakview,low-cost sensor,38000,16.4,near old manufacturing site; mixed residential
2023-06,OAKVIEW,low-cost sensor,38000,15.8,near old manufacturing site; mixed residential
2023-07,oakview,low-cost sensor,38000,14.8,near old manufacturing site; mixed residential
2023-08,"Oakview,",low-cost sensor,38000,14.9,near old manufacturing site; mixed residential
2023-09,Oakview,low-cost sensor,38000,16.4,near old manufacturing site; mixed residential
2023-10,OAKVIEW,low-cost sensor,38000,18.4,near old manufacturing site; mixed residential
2023-11,oakview,low-cost sensor,38000,20.8,near old manufacturing site; mixed residential
2023-12,"Oakview,",low-cost sensor,38000,21.8,near old manufacturing site; mixed residential
2023-01,Fairview,reference,45000,18.3,"residential, some truck traffic on main street"
2023-02,fairview,reference,45000,17.7,"residential, some truck traffic on main street"
2023-03,FAIRVIEW,reference,45000,16.2,"residential, some truck traffic on main street"
2023-04,Fairview.,reference,45000,14.8,"residential, some truck traffic on main street"
2023-05,Fairview,reference,45000,12.9,"residential, some truck traffic on main street"
2023-06,fairview,reference,45000,11.8,"residential, some truck traffic on main street"
2023-07,FAIRVIEW,reference,45000,12.5,"residential, some truck traffic on main street"
2023-08,Fairview.,reference,45000,12.7,"residential, some truck traffic on main street"
2023-09,Fairview,reference,45000,13.5,"residential, some truck traffic on main street"
2023-10,fairview,reference,45000,14.1,"residential, some truck traffic on main street"
2023-11,FAIRVIEW,reference,45000,16.5,"residential, some truck traffic on main street"
2023-12,Fairview.,reference,45000,17.9,"residential, some truck traffic on main street"
2023-01,Maple Heights,reference,58000,16.0,"residential, tree-lined streets"
2023-02,maple heights,reference,58000,14.5,"residential, tree-lined streets"
2023-03,MAPLE HEIGHTS,reference,58000,13.1,"residential, tree-lined streets"
